id_parroq;nparroq
080354;QUINGUE (OLMEDO PERDOMO FRANCO)
080355;SALIMA
080356;SAN FRANCISCO
080357;SAN GREGORIO
080358;SAN JOSE DE CHAMANGA
080450;ROSA ZARATE (QUININDE)
080451;CUBE
080452;CHURA (CHANCAMA) (CAB. EN EL YERBERO)
080453;MALIMPIA
080454;VICHE
080455;LA UNION
080550;SAN LORENZO
080551;ALTO TAMBO (CAB EN GUADUAL)
080552;ANCON (PICHANGAL) (CAB. EN PALMA REAL)
080553;CALDERON
080554;CARONDELET
080555;5 DE JUNIO (CAB. EN UIMBI)
080556;CONCEPCION
080557;MATAJE (CAB. EN SANTANDER)
080558;SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER)
080559;SANTA RITA
080560;TAMBILLO
080561;TULULBI (CAB. EN RICAURTE)
080562;URBINA
080650;ATACAMES
080651;LA UNION
080652;SUA (CAB. EN LA BOCANA)
080653;TONCHIGUE
080654;TONSUPA
080750;RIOVERDE
080751;CHONTADURO
080752;CHUMUNDE
080753;LAGARTO
080754;MONTALVO (CAB EN HORQUETA)
080755;ROCAFUERTE
080850;LA CONCORDIA
090150;GUAYAQUIL
090152;JUAN GOMEZ RENDON (PROGRESO)
090153;MORRO
090156;POSORJA
090157;PUNA
090158;TENGUEL
090250;ALFREDO BAQUERIZO MORENO (JUJAN)
090350;BALAO
090450;BALZAR
090550;COLIMES
090551;SAN JACINTO
090650;DAULE
090652;JUAN BAUTISTA AGUIRRE (LOS TINTOS)
090653;LAUREL
090654;LIMONAL
090656;LOS LOJAS (ENRIQUE BAQUERIZO MORENO)
090750;ELOY ALFARO (DURAN)
090850;VELASCO IBARRA (CAB. EL EMPALME)
090851;GUAYAS (PUEBLO NUEVO)
090852;EL ROSARIO
090950;EL TRIUNFO
091050;MILAGRO
091051;CHOBO
091053;MARISCAL SUCRE (HUAQUES)
091054;ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)
091150;NARANJAL
091151;JESUS MARIA
091152;SAN CARLOS
091153;SANTA ROSA DE FLANDES
091154;TAURA
091250;NARANJITO
091350;PALESTINA
091450;PEDRO CARBO
091451;VALLE DE LA VIRGEN
091452;SABANILLA
091650;SAMBORONDON
091651;TARIFA
091850;SANTA LUCIA
091950;EL SALITRE (LAS RAMAS)
091951;GENERAL VERNAZA (DOS ESTEROS)
091952;LA VICTORIA (ÑAUZA)
091953;JUNQUILLAL
092050;SAN JACINTO DE YAGUACHI
092053;GENERAL PEDRO J. MONTERO (BOLICHE)
092055;YAGUACHI VIEJO (CONE)
092056;VIRGEN DE FATIMA
092150;GENERAL VILLAMIL (PLAYAS)
092250;SIMON BOLIVAR
092251;CORONEL LORENZO DE GARAICOA (PEDREGAL)
092350;CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)
092450;LOMAS DE SARGENTILLO
092550;NARCISA DE JESUS
092750;GENERAL ANTONIO ELIZALDE (BUCAY)
092850;ISIDRO AYORA
100150;SAN MIGUEL DE IBARRA
100151;AMBUQUI
100152;ANGOCHAGUA
100153;CAROLINA
100154;LA ESPERANZA
100155;LITA
100156;SALINAS
100157;SAN ANTONIO
100250;ATUNTAQUI
100251;IMBAYA (SAN LUIS DE COBUENDO)
100252;SAN FRANCISCO DE NATABUELA
100253;SAN JOSE DE CHALTURA
100254;SAN ROQUE
100350;COTACACHI
100351;APUELA
100352;GARCIA MORENO (LLURIMAGUA)
100353;IMANTAG
100354;PEÑAHERRERA
100355;PLAZA GUTIERREZ (CALVARIO)
100356;QUIROGA
100357;6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)
100358;VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO)
100450;OTAVALO
100451;DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)
100452;EUGENIO ESPEJO (CALPAQUI)
100453;GONZALEZ SUAREZ
100454;PATAQUI
100455;SAN JOSE DE QUICHINCHE
100456;SAN JUAN DE ILUMAN
100457;SAN PABLO
100458;SAN RAFAEL
100459;SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA)
100550;PIMAMPIRO
100551;CHUGA
100552;MARIANO ACOSTA
100553;SAN FRANCISCO DE SIGSIPAMBA
100650;URCUQUI
100651;CAHUASQUI
100652;LA MERCED DE BUENOS AIRES
100653;PABLO ARENAS
100654;SAN BLAS
100655;TUMBABIRO
110150;LOJA
110151;CHANTACO
110152;CHUQUIRIBAMBA
110153;EL CISNE
110154;GUALEL
110155;JIMBILLA
110156;MALACATOS (VALLADOLID)
110157;SAN LUCAS
110158;SAN PEDRO DE VILCABAMBA
110159;SANTIAGO
110160;TAQUIL (MIGUEL RIOFRIO)
110161;VILCABAMBA (VICTORIA)
110162;YANGANA (ARSENIO CASTILLO)
110163;QUINARA
110250;CARIAMANGA
110251;COLAISACA
110252;EL LUCERO
110253;UTUANA
110254;SANGUILLIN
110350;CATAMAYO (LA TOMA)
110351;EL TAMBO
110352;GUAYQUICHUMA
110353;SAN PEDRO DE LA BENDITA
110354;ZAMBI
110450;CELICA
110451;CRUZPAMBA (CAB EN CARLOS BUSTAMANTE)
110455;POZUL (SAN JUAN DE POZUL)
110456;SABANILLA
110457;TENIENTE MAXIMILIANO RODRIGUEZ LOAIZA
110550;CHAGUARPAMBA
110551;BUENAVISTA
110552;EL ROSARIO
110553;SANTA RUFINA
110554;AMARILLOS
110650;AMALUZA
110651;BELLAVISTA
110652;JIMBURA
110653;SANTA TERESITA
110654;27 DE ABRIL (CAB. EN LA NARANJA)
